station_id,von_datum,bis_datum,geoBreite,geoLaenge
01416,19840401,19871231,50.0167,8.5333
01420,19350701,20250611,50.0259,8.5213
01421,19611201,19840831,50.1474,8.6746
01422,19730801,19890430,50.0972,8.6936
01423,19720501,19871231,50.0496,8.5887
01424,19851101,20250611,50.1269,8.6694
01425,18540101,19621231,50.1214,8.6604
01426,19470101,19841231,52.3397,14.5080
01428,19480101,19571231,49.2275,8.0585
01440,19710501,20031231,48.2018,7.9339
01441,19450701,19930430,50.9263,13.2711
01443,18740101,20250611,48.0232,7.8343
01447,19470101,19850630,48.0130,7.8588
01451,19701101,20250611,53.8277,9.2493
01467,19480101,20091231,48.4607,8.4141
01468,19490101,20250611,48.4538,8.4090
01473,20060101,20190228,49.1869,11.3080
01481,19710101,19981231,47.9216,8.2547
01488,19470101,19721231,51.6884,11.0394
01490,19470101,20250611,47.6454,9.4795
01492,19580101,20031231,47.7819,7.7348
01493,19920701,19951231,50.4788,11.0159
01503,19470201,20250611,53.0643,7.9020
01504,20000701,20250611,51.1190,9.2799
01505,19750101,20071031,51.1333,9.2833
01513,19470101,19621130,50.6588,8.1027
01515,19690101,20030731,48.2000,11.2667
01522,19470601,19550331,49.4811,10.9640
01526,18850101,20250611,50.5668,9.6532
01544,19360101,20250611,52.5129,11.3942
01550,19360101,20250611,47.4830,11.0621
01552,19951101,19960430,53.2066,14.3817
01568,19580501,19821231,50.6605,10.7565
01572,19821201,20250611,50.9593,6.0392
01580,18840701,20250611,49.9859,7.9548
01583,19470101,19701231,50.7719,13.7732
01584,20090601,20241031,47.9242,8.6474
01586,19610701,19680430,47.8774,12.6279
01587,19980101,20250611,48.9481,11.4289
01590,19631001,20250611,51.4942,6.2463
01593,19350101,19740430,50.2027,9.1989
01602,19700101,20250611,48.4330,7.9930
01605,19530101,20250611,52.3875,12.1602
01612,19520101,20250611,50.8812,12.1289
01617,19480601,20071231,51.7259,11.1317
01619,19560101,20051231,49.7622,8.4887
01621,19490101,19631231,50.2777,9.9144
01623,19960301,20021130,50.4477,9.9174
01638,19490101,19840430,50.5910,8.6551
01639,19390101,20250611,50.6017,8.6439
01645,19490101,20250611,50.9656,9.0500
01666,19710101,20250611,54.8273,9.5058
01667,19480101,20061231,53.7970,9.4295
01672,19740101,19780630,51.6833,6.1667
01684,18600101,20250611,51.1621,14.9506
01689,19360101,20040630,49.7656,11.3062
01691,18580101,20250611,51.5002,9.9507
01694,19470101,20250611,53.6058,12.1034
01709,19520101,19901231,50.8496,13.9392
01721,19910101,20250611,49.6640,11.2239
01735,19951201,20250611,48.7894,13.6290
01736,19510101,20250611,53.5731,10.6797
01748,19360101,20050331,50.4788,9.2620
01757,18980301,20250611,54.0967,13.4056
01758,19470101,19771231,54.1000,13.4500
01759,19470801,20250611,54.2437,13.9104
01762,18970101,20061231,50.6249,12.1777
01766,19820101,20250611,52.1344,7.6969
01792,20200814,20250611,52.7553,7.4815
01803,19490701,20250611,54.0714,12.3238
01818,19460701,19711231,52.3667,13.3167
01831,19830901,20040827,49.1129,13.1365
01832,19821101,20250611,49.1129,13.1338
01833,19470101,19821031,49.0851,13.2801
01834,19510101,19780630,50.8519,10.4665
01844,19590101,19811231,47.9411,11.9004
01849,19490101,19601231,48.8126,11.5728
01857,19480901,19571231,51.4934,10.6918
01863,19950301,20250611,50.2667,9.1854
01869,19730101,20250611,53.3154,13.9339
01873,19570501,19981231,51.7956,10.2380
01874,19800401,19921124,51.8000,10.2167
01875,19510101,20021231,48.9354,9.7364
01886,20091126,20250611,48.4878,10.2608
01890,19360101,19770630,53.7667,12.2167
01891,18880101,20020331,51.8770,8.3577
01892,19750601,20131027,51.9298,8.3005
01902,19841101,20001231,49.1273,10.7448
01920,19780601,20071231,51.4129,7.4895
01922,19790101,19860228,51.3598,7.4717
01929,19470101,20010731,51.8597,10.3368
01957,19510101,20150323,51.5138,11.9499
01960,18510101,19751231,51.4831,11.9671
01963,19690101,20250611,54.5742,8.5133
01964,19520101,20250611,49.9445,6.3821
01972,19120101,19620930,53.4793,10.2415
01973,19470101,19541231,53.5598,9.9874
01975,19360101,20250611,53.6332,9.9881
01979,19510101,20061231,53.4213,10.1462
01981,19620501,20250611,53.4776,9.8957
01986,19780601,19880430,53.4699,10.1804
01987,19560101,20000229,53.5467,9.9662
01990,19510101,20061231,53.5853,10.1293
01993,19400101,20250611,52.0848,9.3896
02000,19950601,19960930,50.1205,8.9243
02005,19610101,19941231,52.7199,10.5984
02014,19360101,20250611,52.4644,9.6779
02023,19980101,20250611,48.7918,10.7062
02039,19360101,20250611,51.9002,10.5699
02044,19450501,20250611,51.6520,11.1366
02048,19510101,19591231,53.6342,9.6038
02053,19630101,19751231,51.6868,10.8631
02055,19871113,20141228,50.0493,10.4947
02069,19360101,19750531,48.8629,13.0670
02074,19470101,20250611,48.3752,8.9800
02078,19370101,20020630,54.2181,9.0853
02080,19350101,20120912,49.4206,8.6676
02081,19360101,19601231,49.3981,8.7251
02083,19490101,19581231,49.4192,8.6051
02088,19470101,20050430,48.6849,10.1420
02092,19520201,19901231,50.1691,7.9949
02093,19690101,19820930,53.8562,9.8227
02095,19470701,20031031,49.1448,9.2333
02100,20181201,20191117,54.1860,7.9119
02110,19630101,20241130,51.0411,6.1042
02115,19520501,20250611,54.1750,7.8920
02120,19470301,20061231,52.2164,11.0219
02122,19700101,20020531,53.9701,9.0095
02147,19360101,20071231,52.1264,8.6865
02151,19470101,19910831,51.0048,10.1705
02158,19510101,20090101,48.8042,8.4430
02159,19780401,19850331,48.5915,8.8541
02160,19490101,20001231,50.8444,10.6904
02166,19510101,19910502,51.0167,14.7500
02167,19480101,20120331,49.7672,7.3356
02171,19490101,20250611,50.8520,9.7377
02173,19760101,20071231,51.5890,7.1548
02174,19911001,20250611,51.6255,10.3695
02201,19310414,20250611,54.5750,13.1044
02206,19530301,20080229,52.1408,9.8838
02207,19740301,19781231,52.1833,9.9500
02211,19370101,20250611,50.7370,7.6525
02221,19800101,19991031,47.5408,10.4371
02223,19600101,20011231,50.3674,10.5687
02225,19220101,19840930,50.9167,14.3667
02226,19600401,20020930,50.4707,10.9106
02228,19460101,20050331,47.8983,8.1055
02244,19460101,20050901,47.7327,8.1627
02250,19410101,20060731,49.1279,12.8645
02252,19470101,20250611,50.8992,14.7456
02253,19831001,19960731,54.7667,8.2833
02260,19490101,20061231,50.3230,11.9077
02261,19470101,20250611,50.3123,11.8760
02264,19480101,20021130,51.5340,9.4789
02268,19490101,20061231,50.1351,10.5156
02289,19530701,19661231,52.6667,12.3333
02290,17810101,20250611,47.8009,11.0108
02297,19720601,19951130,54.1195,9.7127
02302,19460901,19921231,50.9632,11.4847
02303,19690101,20250611,54.3162,9.5385
02306,19771101,20250611,54.3194,10.6732
02315,20000601,20250611,51.7657,13.1666
02318,19980801,20000131,50.2182,7.9133
02319,19821201,20250611,47.8823,11.6961
02323,19510101,20250611,51.8529,9.4953
02324,19750601,20080930,51.7659,9.5447
02327,19510101,20000630,50.7316,9.0032
02331,19700101,20021231,49.3278,7.3533
02338,19740601,20051223,52.3333,7.5500
02344,19430101,19640331,50.1511,11.6980
02349,19530101,20250611,48.6136,8.2033
02352,19570101,19710831,47.6227,8.0177
02354,19470201,19591231,51.4379,14.2426
02360,19360101,19780430,48.6018,11.6769
02362,19821001,20250611,50.5651,7.4843
02374,18910101,19740630,54.4752,9.0564
02377,19810101,20250611,47.7001,7.5895
02385,19740401,20250611,49.6927,7.3263
02388,19900601,20031231,48.0419,7.6322
02393,19230701,19831231,50.6805,10.9073
02396,19470101,19680731,51.8667,10.6833
02406,19800701,20021130,49.2967,9.6520
02410,19740101,20250611,48.7111,11.5363
02417,19590101,19771231,48.1644,12.0307
02422,19380101,19780630,51.3768,7.7644
02423,19470101,20050701,47.6894,10.0416
02429,19880301,20250611,53.9897,9.5697
02436,19950101,20061231,52.0547,13.2344
02437,19710101,20250611,54.4570,9.5203
02444,18210101,20250611,50.9251,11.5830
02451,19540101,20010831,51.7954,12.9583
02456,19310101,20050826,53.5322,7.8806
02464,19510101,19901031,53.5316,9.6752
02465,19810501,19901231,53.5083,9.7376
02474,19760101,20081231,50.9104,6.4093
02475,19480701,19831031,51.9999,13.1010
02477,19700401,20081231,47.5938,7.9597
02480,19470101,20250611,50.0643,8.9930
02482,19781201,19800430,51.1806,8.4900
02483,19261101,20250611,51.1803,8.4891
02485,20110501,20250611,48.9170,9.6871
02486,19010101,20250611,49.4262,7.7557
02488,19460101,20020930,48.7701,10.7876
02493,19800101,19940531,54.4333,10.3667
02494,19930101,20130930,51.7329,6.2688
02497,19470101,20250611,50.5014,6.5264
02502,19460615,19761231,51.3180,10.1348
02503,19460501,20030505,50.6266,10.1455
02506,19470101,19630831,51.2667,14.0833
02521,19500101,19940331,48.6725,11.3092
02522,18760101,20081031,49.0382,8.3641
02532,18800101,20131031,51.2963,9.4424
02533,19460701,19770630,51.3340,9.4506
