station_id,station_name,from_date,to_date,lat,lon,TMK_latest_date,TMK_latest_value,TNK_latest_date,TNK_latest_value,TXK_latest_date,TXK_latest_value,UPM_latest_date,UPM_latest_value
02039,"Harzburg,",19360101,20250616,51.9002,10.5699,20250616,17.1,20250616,13.8,20250616,22.4,20250616,67.50
02044,Harzgerode,19450501,20250616,51.6520,11.1366,20250616,15.4,20250616,9.4,20250616,21.3,20250616,69.96
02074,Hechingen,19470101,20250616,48.3752,8.9800,20250616,16.0,20250616,10.6,20250616,21.2,20250616,78.50
02115,Helgoland,19520501,20250616,54.1750,7.8920,20250616,15.4,20250616,14.2,20250616,17.4,20250616,86.08
02171,"Hersfeld,",19490101,20250616,50.8520,9.7377,20250616,17.6,20250616,12.0,20250616,23.7,20250616,66.25
02174,Herzberg,19911001,20250616,51.6255,10.3695,20250616,16.7,20250616,11.7,20250616,22.2,20250616,72.79
02201,Hiddensee-Vitte,19310414,20250616,54.5750,13.1044,20250616,16.8,20250616,14.6,20250616,20.4,20250616,84.13
02211,Hilgenroth,19370101,20250616,50.7370,7.6525,20250616,17.2,20250616,11.5,20250616,22.7,20250616,70.29
02252,Bertsdorf-Hörnitz,19470101,20250616,50.8992,14.7456,20250616,15.9,20250616,11.0,20250616,19.2,20250616,81.71
02261,Hof,19470101,20250616,50.3123,11.8760,20250616,15.2,20250616,10.9,20250616,18.8,20250616,73.50
02290,Hohenpeißenberg,17810101,20250616,47.8009,11.0108,20250616,13.5,20250616,10.3,20250616,16.7,20250616,82.96
02303,Hohn,19690101,20250616,54.3162,9.5385,20250616,16.3,,,,,20250616,76.17
02306,Hohwacht,19771101,20250616,54.3194,10.6732,20250616,17.1,20250616,13.3,20250616,22.0,20250616,75.04
02315,Holzdorf-Bernsdorf,20000601,20250616,51.7657,13.1666,20250616,17.8,,,,,20250616,65.88
02319,Holzkirchen,19821201,20250616,47.8823,11.6961,20250616,15.8,20250616,13.1,20250616,18.7,20250616,76.71
02323,"Bevern,",19510101,20250616,51.8529,9.4953,20250616,17.6,20250616,11.9,20250616,22.5,20250616,72.25
02362,Hümmerich,19821001,20250616,50.5651,7.4843,20250616,17.1,20250616,11.3,20250616,22.0,20250616,67.29
02385,Idar-Oberstein,19740401,20250616,49.6927,7.3263,20250616,17.2,,,,,20250616,69.46
