station_id,station_name,data_date,lat,lon,humidity,max_temperature,mean_temperature,min_temperature
01200,Elpersbüttel,18.06.2025 13:20,54.0691,9.0105,70.3,20.2,19.9,14.0
01207,"Elster,",18.06.2025 13:20,50.2705,12.2742,54.6,25.1,23.9,10.9
01214,Elzach-Fisnacht,18.06.2025 13:20,48.2012,8.1088,43.9,27.1,26.5,12.0
01224,Emmendingen-Mundingen,18.06.2025 13:20,48.1378,7.8351,39.5,27.3,27.3,12.1
01246,Ennigerloh-Ostenfelde,18.06.2025 13:20,51.8418,8.0607,44.9,25.7,25.7,13.6
01255,Eppingen-Elsenz,18.06.2025 13:20,49.1661,8.8483,42.6,27.5,27.5,12.6
01262,München-Flughafen,18.06.2025 13:20,48.3477,11.8134,42.3,25.5,25.3,8.8
01266,Erfde,18.06.2025 13:20,54.2992,9.3162,66.6,20.8,20.8,12.5
01270,Erfurt-Weimar,18.06.2025 13:20,50.9829,10.9608,41.2,25.7,25.7,12.7
01279,Möhrendorf-Kleinseebach,18.06.2025 13:20,49.6497,11.0075,32.1,29.0,28.6,11.6
01297,Eschwege,18.06.2025 13:20,51.2041,10.0138,42.9,26.8,25.8,13.0
01300,Eslohe,18.06.2025 13:20,51.2540,8.1565,46.1,25.5,24.1,9.7
01303,Essen-Bredeney,18.06.2025 13:20,51.4041,6.9677,47.4,25.6,25.6,15.6
01327,Weilerswist-Lommersum,18.06.2025 13:20,50.7119,6.7905,39.6,26.4,26.4,14.4
01332,"Falkenberg,Kr.Rottal-Inn",18.06.2025 13:20,48.4832,12.7241,43.2,25.9,25.5,12.1
01346,Feldberg/Schwarzwald,18.06.2025 13:20,47.8748,8.0038,74.3,16.6,16.6,11.8
01357,Fichtelberg/Oberfranken-Hüttstadl,18.06.2025 13:20,49.9807,11.8376,48.6,25.0,24.2,10.4
01358,Fichtelberg,18.06.2025 13:20,50.4283,12.9536,60.7,19.6,19.3,11.8
01411,Birx/Rhön,18.06.2025 13:20,50.5309,10.0479,42.8,23.4,22.7,12.2
01420,Frankfurt/Main,18.06.2025 13:20,50.0259,8.5213,37.3,28.2,27.5,13.7
01424,Frankfurt/Main-Westend,18.06.2025 13:20,50.1269,8.6694,39.0,28.2,28.2,15.2
01443,Freiburg,18.06.2025 13:20,48.0232,7.8343,45.9,27.4,27.4,12.8
01451,Freiburg/Elbe,18.06.2025 10:20,53.8277,9.2493,66.7,20.6,20.6,13.4
01468,Freudenstadt,18.06.2025 13:20,48.4538,8.4090,45.5,24.5,23.9,10.5
01503,Friesoythe-Altenoythe,18.06.2025 13:20,53.0643,7.9020,64.2,24.7,22.3,11.9
01526,Fulda-Horas,18.06.2025 13:20,50.5668,9.6532,38.8,26.5,25.8,10.5
01544,Gardelegen,18.06.2025 13:20,52.5129,11.3942,45.4,26.6,26.2,10.8
01550,Garmisch-Partenkirchen,18.06.2025 13:20,47.4830,11.0621,47.1,25.3,25.3,9.4
01580,Geisenheim,18.06.2025 13:20,49.9859,7.9548,35.9,29.1,27.9,14.6
01587,Gelbelsee,18.06.2025 13:20,48.9481,11.4289,36.6,26.3,26.3,12.9
01590,Geldern-Walbeck,18.06.2025 13:20,51.4942,6.2463,42.5,27.0,26.5,14.7
01602,Ohlsbach,18.06.2025 13:20,48.4330,7.9930,43.1,28.6,28.3,14.2
01605,Genthin,18.06.2025 13:20,52.3875,12.1602,37.6,27.8,27.8,12.2
01612,Gera-Leumnitz,18.06.2025 13:20,50.8812,12.1289,41.1,25.9,25.9,13.4
01639,Gießen/Wettenberg,18.06.2025 13:20,50.6017,8.6439,39.7,26.5,26.2,11.6
01645,Gilserberg-Moischeid,18.06.2025 13:20,50.9656,9.0500,47.2,26.5,24.4,10.1
01684,Görlitz,18.06.2025 13:20,51.1621,14.9506,45.4,25.9,25.8,13.3
01691,Göttingen,18.06.2025 13:20,51.5002,9.9507,43.1,26.4,26.1,12.1
01694,Goldberg,18.06.2025 13:20,53.6058,12.1034,55.3,22.9,22.3,13.5
01721,Gräfenberg-Kasberg,18.06.2025 13:20,49.6640,11.2239,42.3,26.5,25.8,12.9
01735,Grainet-Rehberg,18.06.2025 13:20,48.7894,13.6290,52.3,24.0,23.9,10.7
01736,Grambek,18.06.2025 13:20,53.5731,10.6797,54.1,23.6,23.0,12.0
01757,Greifswald,18.06.2025 13:30,54.0967,13.4056,59.7,21.4,21.4,15.6
01759,Greifswalder,18.06.2025 13:30,54.2437,13.9104,75.0,19.0,18.9,16.4
01766,Münster/Osnabrück,18.06.2025 13:20,52.1344,7.6969,41.0,27.3,27.3,12.8
01792,Groß,18.06.2025 13:20,52.7553,7.4815,52.0,27.2,24.7,11.3
01803,Groß,18.06.2025 13:20,54.0714,12.3238,70.4,20.8,20.8,12.8
01832,Großer,18.06.2025 13:20,49.1129,13.1338,55.4,19.3,18.8,10.7
01863,Gründau-Breitenborn,18.06.2025 13:20,50.2667,9.1854,43.6,26.7,26.3,13.2
01869,Grünow,18.06.2025 13:20,53.3154,13.9339,55.2,23.3,22.7,13.3
01886,Günzburg,18.06.2025 13:20,48.4878,10.2608,42.1,25.2,25.1,9.5
01964,Olsdorf,18.06.2025 13:20,49.9445,6.3821,45.4,27.0,26.7,12.8
01975,Hamburg-Fuhlsbüttel,18.06.2025 13:20,53.6332,9.9881,61.6,22.8,22.8,12.7
01981,Hamburg-Neuwiedenthal,18.06.2025 13:20,53.4776,9.8957,58.7,23.5,22.7,14.4
02014,Hannover,18.06.2025 13:20,52.4644,9.6779,44.1,25.8,25.7,13.1
02023,Harburg,18.06.2025 13:20,48.7918,10.7062,37.6,25.9,25.4,13.6
02039,"Harzburg,",18.06.2025 13:20,51.9002,10.5699,40.0,26.5,26.5,16.5
02044,Harzgerode,18.06.2025 13:20,51.6520,11.1366,41.4,25.1,24.8,11.8
02074,Hechingen,18.06.2025 13:20,48.3752,8.9800,48.3,25.5,25.4,10.6
02115,Helgoland,18.06.2025 13:20,54.1750,7.8920,78.2,18.3,18.1,14.9
02171,"Hersfeld,",18.06.2025 13:20,50.8520,9.7377,38.9,27.3,26.7,12.2
02174,Herzberg,18.06.2025 13:20,51.6255,10.3695,47.3,25.6,25.6,12.5
02201,Hiddensee-Vitte,18.06.2025 13:20,54.5750,13.1044,73.0,21.2,21.1,15.6
02211,Hilgenroth,18.06.2025 13:20,50.7370,7.6525,45.4,25.1,24.4,12.2
02252,Bertsdorf-Hörnitz,18.06.2025 13:20,50.8992,14.7456,44.6,26.7,25.7,10.0
02261,Hof,18.06.2025 13:20,50.3123,11.8760,45.7,25.1,24.5,11.6
02290,Hohenpeißenberg,18.06.2025 13:20,47.8009,11.0108,45.8,23.2,23.2,13.7
02306,Hohwacht,18.06.2025 13:20,54.3194,10.6732,57.1,22.5,21.8,13.1
02319,Holzkirchen,18.06.2025 13:20,47.8823,11.6961,32.3,26.9,26.7,10.3
02323,"Bevern,",18.06.2025 13:20,51.8529,9.4953,44.1,26.9,26.9,12.5
